name;unit;threshold;measured;location;summary;wiki
Escherichia coli (BEE);/100ml;0.0;0.0;Beelitzhof (BEE);;
Cyanid ges. (BEE);mg/l;0.05;0.003;Beelitzhof (BEE);;
Kontrollwert NO3/NO2 (BEE);mg/l;1.0;0.07;Beelitzhof (BEE);;
Kontrollwert Calcitlösekapazität (BEE);mgCaCO3/l;5.0;-10.9;Beelitzhof (BEE);;
Säurekapazität KS 4,3 (BEE);mmol/l;;4.06;Beelitzhof (BEE);;
Basekapazität  KB 8,2 (BEE);mmol/l;;0.27;Beelitzhof (BEE);;
Clostridium perfringens (BEE);/100ml;0.0;0.0;Beelitzhof (BEE);;
Coliforme Bakterien (BEE);/100ml;0.0;0.0;Beelitzhof (BEE);;
Koloniezahl 22°C (BEE);/ml;100.0;0.0;Beelitzhof (BEE);;
Koloniezahl 36°C (BEE);/ml;100.0;0.0;Beelitzhof (BEE);;
Gaba Lactam (BEE);µg/l;1.0;0.02;Beelitzhof (BEE);;
Enterokokken (BEE);/100ml;0.0;0.0;Beelitzhof (BEE);;
Benzol (BEE);mg/l;0.001;0.0001;Beelitzhof (BEE);;
Bor (BEE);mg/l;1.0;0.07;Beelitzhof (BEE);;
Chrom (BEE);mg/l;0.05;0.001;Beelitzhof (BEE);;
1,2-Dichlorethan (BEE);mg/l;0.003;0.0005;Beelitzhof (BEE);;
Fluorid (BEE);mg/l;1.5;0.2;Beelitzhof (BEE);"Fluoride () is an inorganic, monatomic anion with the chemical formula F− (also written [F]−), whose salts are typically white or colorless. Fluoride salts typically have distinctive bitter tastes, and are odorless. Its salts and minerals are important chemical reagents and industrial chemicals, mainly used in the production of hydrogen fluoride for fluorocarbons. Fluoride is classified as a weak base since it only partially associates in solution, but concentrated fluoride is corrosive and can attack the skin.
Fluoride is the simplest fluorine anion. In terms of charge and size, the fluoride ion resembles the hydroxide ion.  Fluoride ions occur on earth in several minerals, particularly fluorite, but are present only in trace quantities in bodies of water in nature.";https://en.wikipedia.org/wiki/Fluoride
Nitrat (BEE);mg/l;50.0;3.36;Beelitzhof (BEE);;
Pflanzenschutzmittel-Wirkstoffe und Biozidprodukt-Wirkstoffe insgesamt (BEE);mg/l;0.0005;0.00017;Beelitzhof (BEE);;
a-HCH (BEE);mg/l;0.0001;1e-05;Beelitzhof (BEE);;
b-HCH (BEE);mg/l;0.0001;1e-05;Beelitzhof (BEE);;
g-HCH (BEE);mg/l;0.0001;1e-05;Beelitzhof (BEE);;
d-HCH (BEE);mg/l;0.0001;1e-05;Beelitzhof (BEE);;
e-HCH (BEE);mg/l;0.0001;1e-05;Beelitzhof (BEE);;
o,p-DDE (BEE);mg/l;0.0001;1e-05;Beelitzhof (BEE);;
p,p-DDE (BEE);mg/l;0.0001;1e-05;Beelitzhof (BEE);;
o,p-DDD (BEE);mg/l;0.0001;1e-05;Beelitzhof (BEE);;
p,p-DDD (BEE);mg/l;0.0001;1e-05;Beelitzhof (BEE);;
o,p-DDT (BEE);mg/l;0.0001;1e-05;Beelitzhof (BEE);"Dichlorodiphenyltrichloroethane, commonly known as DDT, is a colorless, tasteless, and almost odorless crystalline chemical compound, an organochlorine, originally developed as an insecticide, and ultimately becoming infamous for its environmental impacts. It was first synthesized in 1874. DDT's insecticidal action was discovered by the Swiss chemist Paul Hermann Müller in 1939. DDT was used in the second half of World War II to control malaria and typhus among civilians and troops. Müller was awarded the Nobel Prize in Physiology or Medicine ""for his discovery of the high efficiency of DDT as a contact poison against several arthropods"" in 1948.By October 1945, DDT was available for public sale in the United States. Although it was promoted by government and industry for use as an agricultural and household pesticide, there were also concerns about its use from the beginning. Opposition to DDT was focused by the 1962 publication of Rachel Carson's book Silent Spring. It cataloged environmental impacts that coincided with widespread use of DDT in agriculture in the United States, and it questioned the logic of broadcasting potentially dangerous chemicals into the environment with little prior investigation of their environmental and health effects. The book claimed that DDT and other pesticides had been shown to cause cancer and that their agricultural use was a threat to wildlife, particularly birds. Its publication was a seminal event for the environmental movement and resulted in a large public outcry that eventually led, in 1972, to a ban on DDT's agricultural use in the United States. A worldwide ban on agricultural use was formalized under the Stockholm Convention on Persistent Organic Pollutants, but its limited and still-controversial use in disease vector control continues, because of its effectiveness in reducing malarial infections, balanced by environmental and other health concerns.
Along with the passage of the Endangered Species Act, the United States ban on DDT is a major factor in the comeback of the bald eagle (the national bird of the United States) and the peregrine falcon from near-extinction in the contiguous United States.";https://en.wikipedia.org/wiki/DDT
p,p-DDT (BEE);mg/l;0.0001;1e-05;Beelitzhof (BEE);"Dichlorodiphenyltrichloroethane, commonly known as DDT, is a colorless, tasteless, and almost odorless crystalline chemical compound, an organochlorine, originally developed as an insecticide, and ultimately becoming infamous for its environmental impacts. It was first synthesized in 1874. DDT's insecticidal action was discovered by the Swiss chemist Paul Hermann Müller in 1939. DDT was used in the second half of World War II to control malaria and typhus among civilians and troops. Müller was awarded the Nobel Prize in Physiology or Medicine ""for his discovery of the high efficiency of DDT as a contact poison against several arthropods"" in 1948.By October 1945, DDT was available for public sale in the United States. Although it was promoted by government and industry for use as an agricultural and household pesticide, there were also concerns about its use from the beginning. Opposition to DDT was focused by the 1962 publication of Rachel Carson's book Silent Spring. It cataloged environmental impacts that coincided with widespread use of DDT in agriculture in the United States, and it questioned the logic of broadcasting potentially dangerous chemicals into the environment with little prior investigation of their environmental and health effects. The book claimed that DDT and other pesticides had been shown to cause cancer and that their agricultural use was a threat to wildlife, particularly birds. Its publication was a seminal event for the environmental movement and resulted in a large public outcry that eventually led, in 1972, to a ban on DDT's agricultural use in the United States. A worldwide ban on agricultural use was formalized under the Stockholm Convention on Persistent Organic Pollutants, but its limited and still-controversial use in disease vector control continues, because of its effectiveness in reducing malarial infections, balanced by environmental and other health concerns.
Along with the passage of the Endangered Species Act, the United States ban on DDT is a major factor in the comeback of the bald eagle (the national bird of the United States) and the peregrine falcon from near-extinction in the contiguous United States.";https://en.wikipedia.org/wiki/DDT
Aldrin (BEE);mg/l;2.9999999999999997e-05;5e-06;Beelitzhof (BEE);"Aldrin is an organochlorine insecticide that was widely used until the 1990s, when it was banned in most countries. It is a colourless solid. Before the ban, it was heavily used as a pesticide to treat seed and soil.  Aldrin and related ""cyclodiene"" pesticides (a term for pesticides derived from Hexachlorocyclopentadiene) became notorious as persistent organic pollutants.";https://en.wikipedia.org/wiki/Aldrin
Isodrin (BEE);mg/l;0.0001;1e-05;Beelitzhof (BEE);;
Mirex (BEE);mg/l;0.0001;1e-05;Beelitzhof (BEE);;
Dieldrin (BEE);mg/l;2.9999999999999997e-05;5e-06;Beelitzhof (BEE);;
Endrin (BEE);mg/l;0.0001;1e-05;Beelitzhof (BEE);;
Heptachlor (BEE);mg/l;2.9999999999999997e-05;5e-06;Beelitzhof (BEE);;
cis-Heptachlorepoxid (BEE);mg/l;2.9999999999999997e-05;5e-06;Beelitzhof (BEE);;
trans-Heptachlorepoxid (BEE);mg/l;2.9999999999999997e-05;5e-06;Beelitzhof (BEE);;
alpha-Endosulfan (BEE);mg/l;0.0001;1e-05;Beelitzhof (BEE);;
beta-Endosulfan (BEE);mg/l;0.0001;1e-05;Beelitzhof (BEE);;
alpha-Chlordan (BEE);mg/l;0.0001;1e-05;Beelitzhof (BEE);;
gamma-Chlordan (BEE);mg/l;0.0001;1e-05;Beelitzhof (BEE);;
oxi-Chlordan (BEE);mg/l;0.0001;1e-05;Beelitzhof (BEE);;
Methoxychlor (BEE);mg/l;0.0001;1e-05;Beelitzhof (BEE);;
2,6-Dichlorbenzamid (BEE);mg/l;0.0001;2.5e-05;Beelitzhof (BEE);;
Atrazin (BEE);mg/l;0.0001;2.5e-05;Beelitzhof (BEE);;
Chloridazon (BEE);mg/l;0.0001;2.5e-05;Beelitzhof (BEE);"Chloridazon-catechol dioxygenase (EC 1.13.11.36) is an enzyme that catalyzes the chemical reaction

5-amino-4-chloro-2-(2,3-dihydroxyphenyl)-3(2H)-pyridazinone + O2 
  
    
      
        ⇌
      
    
    {\displaystyle \rightleftharpoons }
   5-amino-4-chloro-2-(2-hydroxymuconoyl)-3(2H)-pyridazinoneThus, the two substrates of this enzyme are 5-amino-4-chloro-2-(2,3-dihydroxyphenyl)-3(2H)-pyridazinone and oxygen, whereas its product is 5-amino-4-chloro-2-(2-hydroxymuconoyl)-3(2H)-pyridazinone.

This enzyme belongs to the family of oxidoreductases, specifically those acting on single donors with O2 as oxidant and incorporation of two atoms of oxygen into the substrate (oxygenases). The oxygen incorporated need not be derived from O2.  The systematic name of this enzyme class is 5-amino-4-chloro-2-(2,3-dihydroxyphenyl)-3(2H)-pyridazinone 1,2-oxidoreductase (decyclizing). It employs one cofactor, iron.";https://de.wikipedia.org/wiki/Chloridazon
Chlortoluron (BEE);mg/l;0.0001;2.5e-05;Beelitzhof (BEE);;
Desethylatrazin (BEE);mg/l;0.0001;2.5e-05;Beelitzhof (BEE);;
Desethylterbuthylazin (BEE);mg/l;0.0001;3e-05;Beelitzhof (BEE);;
Desisopropylatrazin (BEE);mg/l;0.0001;2.5e-05;Beelitzhof (BEE);;
Diuron (BEE);mg/l;0.0001;2.5e-05;Beelitzhof (BEE);;
Ethofumesat (BEE);mg/l;0.0001;4e-05;Beelitzhof (BEE);;
Isoproturon (BEE);mg/l;0.0001;2.5e-05;Beelitzhof (BEE);;
Metamitron (BEE);mg/l;0.0001;2.5e-05;Beelitzhof (BEE);;
Metazachlor (BEE);mg/l;0.0001;2.5e-05;Beelitzhof (BEE);;
Methyldesphenylchloridazon (BEE);mg/l;0.0001;2.5e-05;Beelitzhof (BEE);;
Metolachlor (BEE);mg/l;0.0001;2.5e-05;Beelitzhof (BEE);;
Metribuzin (BEE);mg/l;0.0001;2.5e-05;Beelitzhof (BEE);;
Simazin (BEE);mg/l;0.0001;2.5e-05;Beelitzhof (BEE);;
Terbuthylazin (BEE);mg/l;0.0001;2.5e-05;Beelitzhof (BEE);;
Mecoprop (BEE);mg/l;0.0001;2e-05;Beelitzhof (BEE);;
MCPA (BEE);mg/l;0.0001;2e-05;Beelitzhof (BEE);;
Dichlorprop (BEE);mg/l;0.0001;2e-05;Beelitzhof (BEE);;
2,4-D (BEE);mg/l;0.0001;2e-05;Beelitzhof (BEE);;
p,p-DDA (BEE);mg/l;0.0001;2.5e-05;Beelitzhof (BEE);;
o,p-DDA (BEE);mg/l;0.0001;2.5e-05;Beelitzhof (BEE);;
Bentazon (BEE);mg/l;0.0001;2e-05;Beelitzhof (BEE);;
Glyphosat (BEE);mg/l;0.0001;2e-05;Beelitzhof (BEE);;
