name;unit;threshold;measured;location;summary;wiki
Escherichia coli (KAU);/100ml;0.0;0.0;Kaulsdorf (KAU);;
Cyanid ges. (KAU);mg/l;0.05;0.003;Kaulsdorf (KAU);;
Kontrollwert NO3/NO2 (KAU);mg/l;1.0;0.03;Kaulsdorf (KAU);;
Kontrollwert Calcitlösekapazität (KAU);mgCaCO3/l;5.0;4.6;Kaulsdorf (KAU);;
Säurekapazität KS 4,3 (KAU);mmol/l;;4.39;Kaulsdorf (KAU);;
Basekapazität  KB 8,2 (KAU);mmol/l;;0.57;Kaulsdorf (KAU);;
Clostridium perfringens (KAU);/100ml;0.0;0.0;Kaulsdorf (KAU);;
Coliforme Bakterien (KAU);/100ml;0.0;0.0;Kaulsdorf (KAU);;
Koloniezahl 22°C (KAU);/ml;100.0;0.0;Kaulsdorf (KAU);;
Koloniezahl 36°C (KAU);/ml;100.0;0.0;Kaulsdorf (KAU);;
Gaba Lactam (KAU);µg/l;1.0;0.01;Kaulsdorf (KAU);;
Enterokokken (KAU);/100ml;0.0;0.0;Kaulsdorf (KAU);;
Benzol (KAU);mg/l;0.001;0.0001;Kaulsdorf (KAU);;
Bor (KAU);mg/l;1.0;0.07;Kaulsdorf (KAU);;
Chrom (KAU);mg/l;0.05;0.001;Kaulsdorf (KAU);;
1,2-Dichlorethan (KAU);mg/l;0.003;0.0005;Kaulsdorf (KAU);;
Fluorid (KAU);mg/l;1.5;0.23;Kaulsdorf (KAU);"Fluoride () is an inorganic, monatomic anion with the chemical formula F− (also written [F]−), whose salts are typically white or colorless. Fluoride salts typically have distinctive bitter tastes, and are odorless. Its salts and minerals are important chemical reagents and industrial chemicals, mainly used in the production of hydrogen fluoride for fluorocarbons. Fluoride is classified as a weak base since it only partially associates in solution, but concentrated fluoride is corrosive and can attack the skin.
Fluoride is the simplest fluorine anion. In terms of charge and size, the fluoride ion resembles the hydroxide ion.  Fluoride ions occur on earth in several minerals, particularly fluorite, but are present only in trace quantities in bodies of water in nature.";https://en.wikipedia.org/wiki/Fluoride
Nitrat (KAU);mg/l;50.0;1.37;Kaulsdorf (KAU);;
Pflanzenschutzmittel-Wirkstoffe und Biozidprodukt-Wirkstoffe insgesamt (KAU);mg/l;0.0005;0.00014;Kaulsdorf (KAU);;
a-HCH (KAU);mg/l;0.0001;1e-05;Kaulsdorf (KAU);;
b-HCH (KAU);mg/l;0.0001;1e-05;Kaulsdorf (KAU);;
g-HCH (KAU);mg/l;0.0001;1e-05;Kaulsdorf (KAU);;
d-HCH (KAU);mg/l;0.0001;1e-05;Kaulsdorf (KAU);;
e-HCH (KAU);mg/l;0.0001;1e-05;Kaulsdorf (KAU);;
o,p-DDE (KAU);mg/l;0.0001;1e-05;Kaulsdorf (KAU);;
p,p-DDE (KAU);mg/l;0.0001;1e-05;Kaulsdorf (KAU);;
o,p-DDD (KAU);mg/l;0.0001;1e-05;Kaulsdorf (KAU);;
p,p-DDD (KAU);mg/l;0.0001;1e-05;Kaulsdorf (KAU);;
o,p-DDT (KAU);mg/l;0.0001;1e-05;Kaulsdorf (KAU);"Dichlorodiphenyltrichloroethane, commonly known as DDT, is a colorless, tasteless, and almost odorless crystalline chemical compound, an organochlorine, originally developed as an insecticide, and ultimately becoming infamous for its environmental impacts. It was first synthesized in 1874. DDT's insecticidal action was discovered by the Swiss chemist Paul Hermann Müller in 1939. DDT was used in the second half of World War II to control malaria and typhus among civilians and troops. Müller was awarded the Nobel Prize in Physiology or Medicine ""for his discovery of the high efficiency of DDT as a contact poison against several arthropods"" in 1948.By October 1945, DDT was available for public sale in the United States. Although it was promoted by government and industry for use as an agricultural and household pesticide, there were also concerns about its use from the beginning. Opposition to DDT was focused by the 1962 publication of Rachel Carson's book Silent Spring. It cataloged environmental impacts that coincided with widespread use of DDT in agriculture in the United States, and it questioned the logic of broadcasting potentially dangerous chemicals into the environment with little prior investigation of their environmental and health effects. The book claimed that DDT and other pesticides had been shown to cause cancer and that their agricultural use was a threat to wildlife, particularly birds. Its publication was a seminal event for the environmental movement and resulted in a large public outcry that eventually led, in 1972, to a ban on DDT's agricultural use in the United States. A worldwide ban on agricultural use was formalized under the Stockholm Convention on Persistent Organic Pollutants, but its limited and still-controversial use in disease vector control continues, because of its effectiveness in reducing malarial infections, balanced by environmental and other health concerns.
Along with the passage of the Endangered Species Act, the United States ban on DDT is a major factor in the comeback of the bald eagle (the national bird of the United States) and the peregrine falcon from near-extinction in the contiguous United States.";https://en.wikipedia.org/wiki/DDT
p,p-DDT (KAU);mg/l;0.0001;1e-05;Kaulsdorf (KAU);"Dichlorodiphenyltrichloroethane, commonly known as DDT, is a colorless, tasteless, and almost odorless crystalline chemical compound, an organochlorine, originally developed as an insecticide, and ultimately becoming infamous for its environmental impacts. It was first synthesized in 1874. DDT's insecticidal action was discovered by the Swiss chemist Paul Hermann Müller in 1939. DDT was used in the second half of World War II to control malaria and typhus among civilians and troops. Müller was awarded the Nobel Prize in Physiology or Medicine ""for his discovery of the high efficiency of DDT as a contact poison against several arthropods"" in 1948.By October 1945, DDT was available for public sale in the United States. Although it was promoted by government and industry for use as an agricultural and household pesticide, there were also concerns about its use from the beginning. Opposition to DDT was focused by the 1962 publication of Rachel Carson's book Silent Spring. It cataloged environmental impacts that coincided with widespread use of DDT in agriculture in the United States, and it questioned the logic of broadcasting potentially dangerous chemicals into the environment with little prior investigation of their environmental and health effects. The book claimed that DDT and other pesticides had been shown to cause cancer and that their agricultural use was a threat to wildlife, particularly birds. Its publication was a seminal event for the environmental movement and resulted in a large public outcry that eventually led, in 1972, to a ban on DDT's agricultural use in the United States. A worldwide ban on agricultural use was formalized under the Stockholm Convention on Persistent Organic Pollutants, but its limited and still-controversial use in disease vector control continues, because of its effectiveness in reducing malarial infections, balanced by environmental and other health concerns.
Along with the passage of the Endangered Species Act, the United States ban on DDT is a major factor in the comeback of the bald eagle (the national bird of the United States) and the peregrine falcon from near-extinction in the contiguous United States.";https://en.wikipedia.org/wiki/DDT
Aldrin (KAU);mg/l;2.9999999999999997e-05;5e-06;Kaulsdorf (KAU);"Aldrin is an organochlorine insecticide that was widely used until the 1990s, when it was banned in most countries. It is a colourless solid. Before the ban, it was heavily used as a pesticide to treat seed and soil.  Aldrin and related ""cyclodiene"" pesticides (a term for pesticides derived from Hexachlorocyclopentadiene) became notorious as persistent organic pollutants.";https://en.wikipedia.org/wiki/Aldrin
Isodrin (KAU);mg/l;0.0001;1e-05;Kaulsdorf (KAU);;
Mirex (KAU);mg/l;0.0001;1e-05;Kaulsdorf (KAU);;
Dieldrin (KAU);mg/l;2.9999999999999997e-05;5e-06;Kaulsdorf (KAU);;
Endrin (KAU);mg/l;0.0001;1e-05;Kaulsdorf (KAU);;
Heptachlor (KAU);mg/l;2.9999999999999997e-05;5e-06;Kaulsdorf (KAU);;
cis-Heptachlorepoxid (KAU);mg/l;2.9999999999999997e-05;5e-06;Kaulsdorf (KAU);;
trans-Heptachlorepoxid (KAU);mg/l;2.9999999999999997e-05;5e-06;Kaulsdorf (KAU);;
alpha-Endosulfan (KAU);mg/l;0.0001;1e-05;Kaulsdorf (KAU);;
beta-Endosulfan (KAU);mg/l;0.0001;1e-05;Kaulsdorf (KAU);;
alpha-Chlordan (KAU);mg/l;0.0001;1e-05;Kaulsdorf (KAU);;
gamma-Chlordan (KAU);mg/l;0.0001;1e-05;Kaulsdorf (KAU);;
oxi-Chlordan (KAU);mg/l;0.0001;1e-05;Kaulsdorf (KAU);;
Methoxychlor (KAU);mg/l;0.0001;1e-05;Kaulsdorf (KAU);;
2,6-Dichlorbenzamid (KAU);mg/l;0.0001;2.5e-05;Kaulsdorf (KAU);;
Atrazin (KAU);mg/l;0.0001;2.5e-05;Kaulsdorf (KAU);;
Chloridazon (KAU);mg/l;0.0001;2.5e-05;Kaulsdorf (KAU);"Chloridazon-catechol dioxygenase (EC 1.13.11.36) is an enzyme that catalyzes the chemical reaction

5-amino-4-chloro-2-(2,3-dihydroxyphenyl)-3(2H)-pyridazinone + O2 
  
    
      
        ⇌
      
    
    {\displaystyle \rightleftharpoons }
   5-amino-4-chloro-2-(2-hydroxymuconoyl)-3(2H)-pyridazinoneThus, the two substrates of this enzyme are 5-amino-4-chloro-2-(2,3-dihydroxyphenyl)-3(2H)-pyridazinone and oxygen, whereas its product is 5-amino-4-chloro-2-(2-hydroxymuconoyl)-3(2H)-pyridazinone.

This enzyme belongs to the family of oxidoreductases, specifically those acting on single donors with O2 as oxidant and incorporation of two atoms of oxygen into the substrate (oxygenases). The oxygen incorporated need not be derived from O2.  The systematic name of this enzyme class is 5-amino-4-chloro-2-(2,3-dihydroxyphenyl)-3(2H)-pyridazinone 1,2-oxidoreductase (decyclizing). It employs one cofactor, iron.";https://de.wikipedia.org/wiki/Chloridazon
Chlortoluron (KAU);mg/l;0.0001;2.5e-05;Kaulsdorf (KAU);;
Desethylatrazin (KAU);mg/l;0.0001;2.5e-05;Kaulsdorf (KAU);;
Desethylterbuthylazin (KAU);mg/l;0.0001;3e-05;Kaulsdorf (KAU);;
Desisopropylatrazin (KAU);mg/l;0.0001;2.5e-05;Kaulsdorf (KAU);;
Diuron (KAU);mg/l;0.0001;2.5e-05;Kaulsdorf (KAU);;
Ethofumesat (KAU);mg/l;0.0001;4e-05;Kaulsdorf (KAU);;
Isoproturon (KAU);mg/l;0.0001;2.5e-05;Kaulsdorf (KAU);;
Metamitron (KAU);mg/l;0.0001;2.5e-05;Kaulsdorf (KAU);;
Metazachlor (KAU);mg/l;0.0001;2.5e-05;Kaulsdorf (KAU);;
Methyldesphenylchloridazon (KAU);mg/l;0.0001;2.5e-05;Kaulsdorf (KAU);;
Metolachlor (KAU);mg/l;0.0001;2.5e-05;Kaulsdorf (KAU);;
Metribuzin (KAU);mg/l;0.0001;2.5e-05;Kaulsdorf (KAU);;
Simazin (KAU);mg/l;0.0001;2.5e-05;Kaulsdorf (KAU);;
Terbuthylazin (KAU);mg/l;0.0001;2.5e-05;Kaulsdorf (KAU);;
Mecoprop (KAU);mg/l;0.0001;2e-05;Kaulsdorf (KAU);;
MCPA (KAU);mg/l;0.0001;2e-05;Kaulsdorf (KAU);;
Dichlorprop (KAU);mg/l;0.0001;2e-05;Kaulsdorf (KAU);;
2,4-D (KAU);mg/l;0.0001;2e-05;Kaulsdorf (KAU);;
p,p-DDA (KAU);mg/l;0.0001;2.5e-05;Kaulsdorf (KAU);;
o,p-DDA (KAU);mg/l;0.0001;2.5e-05;Kaulsdorf (KAU);;
Bentazon (KAU);mg/l;0.0001;2e-05;Kaulsdorf (KAU);;
Glyphosat (KAU);mg/l;0.0001;2e-05;Kaulsdorf (KAU);;
