name;unit;threshold;measured;location;summary;wiki
Escherichia coli (STO);/100ml;0.0;0.0;Stolpe (STO);;
Cyanid ges. (STO);mg/l;0.05;0.003;Stolpe (STO);;
Kontrollwert NO3/NO2 (STO);mg/l;1.0;0.07;Stolpe (STO);;
Kontrollwert Calcitlösekapazität (STO);mgCaCO3/l;5.0;-8.3;Stolpe (STO);;
Säurekapazität KS 4,3 (STO);mmol/l;;3.98;Stolpe (STO);;
Basekapazität  KB 8,2 (STO);mmol/l;;0.33;Stolpe (STO);;
Clostridium perfringens (STO);/100ml;0.0;0.0;Stolpe (STO);;
Coliforme Bakterien (STO);/100ml;0.0;0.0;Stolpe (STO);;
Koloniezahl 22°C (STO);/ml;100.0;0.0;Stolpe (STO);;
Koloniezahl 36°C (STO);/ml;100.0;0.0;Stolpe (STO);;
Gaba Lactam (STO);µg/l;1.0;0.01;Stolpe (STO);;
Enterokokken (STO);/100ml;0.0;0.0;Stolpe (STO);;
Benzol (STO);mg/l;0.001;0.0001;Stolpe (STO);;
Bor (STO);mg/l;1.0;0.061;Stolpe (STO);;
Chrom (STO);mg/l;0.05;0.001;Stolpe (STO);;
1,2-Dichlorethan (STO);mg/l;0.003;0.0005;Stolpe (STO);;
Fluorid (STO);mg/l;1.5;0.19;Stolpe (STO);"Fluoride () is an inorganic, monatomic anion with the chemical formula F− (also written [F]−), whose salts are typically white or colorless. Fluoride salts typically have distinctive bitter tastes, and are odorless. Its salts and minerals are important chemical reagents and industrial chemicals, mainly used in the production of hydrogen fluoride for fluorocarbons. Fluoride is classified as a weak base since it only partially associates in solution, but concentrated fluoride is corrosive and can attack the skin.
Fluoride is the simplest fluorine anion. In terms of charge and size, the fluoride ion resembles the hydroxide ion.  Fluoride ions occur on earth in several minerals, particularly fluorite, but are present only in trace quantities in bodies of water in nature.";https://en.wikipedia.org/wiki/Fluoride
Nitrat (STO);mg/l;50.0;3.05;Stolpe (STO);;
Pflanzenschutzmittel-Wirkstoffe und Biozidprodukt-Wirkstoffe insgesamt (STO);mg/l;0.0005;0.00014;Stolpe (STO);;
a-HCH (STO);mg/l;0.0001;1e-05;Stolpe (STO);;
b-HCH (STO);mg/l;0.0001;1e-05;Stolpe (STO);;
g-HCH (STO);mg/l;0.0001;1e-05;Stolpe (STO);;
d-HCH (STO);mg/l;0.0001;1e-05;Stolpe (STO);;
e-HCH (STO);mg/l;0.0001;1e-05;Stolpe (STO);;
o,p-DDE (STO);mg/l;0.0001;1e-05;Stolpe (STO);;
p,p-DDE (STO);mg/l;0.0001;1e-05;Stolpe (STO);;
o,p-DDD (STO);mg/l;0.0001;1e-05;Stolpe (STO);;
p,p-DDD (STO);mg/l;0.0001;1e-05;Stolpe (STO);;
