name;unit;threshold;measured;location;summary;wiki
Escherichia coli (TIE);/100ml;0.0;0.0;Tiefwerder (TIE);;
Cyanid ges. (TIE);mg/l;0.05;0.003;Tiefwerder (TIE);;
Kontrollwert NO3/NO2 (TIE);mg/l;1.0;0.08;Tiefwerder (TIE);;
Kontrollwert Calcitlösekapazität (TIE);mgCaCO3/l;5.0;-16.9;Tiefwerder (TIE);;
Säurekapazität KS 4,3 (TIE);mmol/l;;4.77;Tiefwerder (TIE);;
Basekapazität  KB 8,2 (TIE);mmol/l;;0.43;Tiefwerder (TIE);;
Clostridium perfringens (TIE);/100ml;0.0;0.0;Tiefwerder (TIE);;
Coliforme Bakterien (TIE);/100ml;0.0;0.0;Tiefwerder (TIE);;
Koloniezahl 22°C (TIE);/ml;100.0;0.0;Tiefwerder (TIE);;
Koloniezahl 36°C (TIE);/ml;100.0;0.0;Tiefwerder (TIE);;
Gaba Lactam (TIE);µg/l;1.0;0.01;Tiefwerder (TIE);;
Enterokokken (TIE);/100ml;0.0;0.0;Tiefwerder (TIE);;
Benzol (TIE);mg/l;0.001;0.0001;Tiefwerder (TIE);;
Bor (TIE);mg/l;1.0;0.054;Tiefwerder (TIE);;
Chrom (TIE);mg/l;0.05;0.001;Tiefwerder (TIE);;
1,2-Dichlorethan (TIE);mg/l;0.003;0.0005;Tiefwerder (TIE);;
Fluorid (TIE);mg/l;1.5;0.15;Tiefwerder (TIE);"Fluoride () is an inorganic, monatomic anion with the chemical formula F− (also written [F]−), whose salts are typically white or colorless. Fluoride salts typically have distinctive bitter tastes, and are odorless. Its salts and minerals are important chemical reagents and industrial chemicals, mainly used in the production of hydrogen fluoride for fluorocarbons. Fluoride is classified as a weak base since it only partially associates in solution, but concentrated fluoride is corrosive and can attack the skin.
Fluoride is the simplest fluorine anion. In terms of charge and size, the fluoride ion resembles the hydroxide ion.  Fluoride ions occur on earth in several minerals, particularly fluorite, but are present only in trace quantities in bodies of water in nature.";https://en.wikipedia.org/wiki/Fluoride
Nitrat (TIE);mg/l;50.0;3.9;Tiefwerder (TIE);;
Pflanzenschutzmittel-Wirkstoffe und Biozidprodukt-Wirkstoffe insgesamt (TIE);mg/l;0.0005;0.00017;Tiefwerder (TIE);;
a-HCH (TIE);mg/l;0.0001;1e-05;Tiefwerder (TIE);;
b-HCH (TIE);mg/l;0.0001;1e-05;Tiefwerder (TIE);;
g-HCH (TIE);mg/l;0.0001;1e-05;Tiefwerder (TIE);;
