name;unit;threshold;measured;location;summary;wiki
Escherichia coli (WUH);/100ml;0.0;0.0;Wuhlheide (WUH);;
Cyanid ges. (WUH);mg/l;0.05;0.003;Wuhlheide (WUH);;
Kontrollwert NO3/NO2 (WUH);mg/l;1.0;0.09;Wuhlheide (WUH);;
Kontrollwert Calcitlösekapazität (WUH);mgCaCO3/l;5.0;-13.9;Wuhlheide (WUH);;
Säurekapazität KS 4,3 (WUH);mmol/l;;4.79;Wuhlheide (WUH);;
Basekapazität  KB 8,2 (WUH);mmol/l;;0.49;Wuhlheide (WUH);;
Clostridium perfringens (WUH);/100ml;0.0;0.0;Wuhlheide (WUH);;
Coliforme Bakterien (WUH);/100ml;0.0;0.0;Wuhlheide (WUH);;
Koloniezahl 22°C (WUH);/ml;100.0;0.0;Wuhlheide (WUH);;
Koloniezahl 36°C (WUH);/ml;100.0;0.0;Wuhlheide (WUH);;
Gaba Lactam (WUH);µg/l;1.0;0.01;Wuhlheide (WUH);;
Enterokokken (WUH);/100ml;0.0;0.0;Wuhlheide (WUH);;
Benzol (WUH);mg/l;0.001;0.0001;Wuhlheide (WUH);;
Bor (WUH);mg/l;1.0;0.13;Wuhlheide (WUH);;
Chrom (WUH);mg/l;0.05;0.001;Wuhlheide (WUH);;
1,2-Dichlorethan (WUH);mg/l;0.003;0.0005;Wuhlheide (WUH);;
Fluorid (WUH);mg/l;1.5;0.28;Wuhlheide (WUH);"Fluoride () is an inorganic, monatomic anion with the chemical formula F− (also written [F]−), whose salts are typically white or colorless. Fluoride salts typically have distinctive bitter tastes, and are odorless. Its salts and minerals are important chemical reagents and industrial chemicals, mainly used in the production of hydrogen fluoride for fluorocarbons. Fluoride is classified as a weak base since it only partially associates in solution, but concentrated fluoride is corrosive and can attack the skin.
Fluoride is the simplest fluorine anion. In terms of charge and size, the fluoride ion resembles the hydroxide ion.  Fluoride ions occur on earth in several minerals, particularly fluorite, but are present only in trace quantities in bodies of water in nature.";https://en.wikipedia.org/wiki/Fluoride
Nitrat (WUH);mg/l;50.0;4.21;Wuhlheide (WUH);;
Pflanzenschutzmittel-Wirkstoffe und Biozidprodukt-Wirkstoffe insgesamt (WUH);mg/l;0.0005;0.00014;Wuhlheide (WUH);;
a-HCH (WUH);mg/l;0.0001;1e-05;Wuhlheide (WUH);;
b-HCH (WUH);mg/l;0.0001;1e-05;Wuhlheide (WUH);;
g-HCH (WUH);mg/l;0.0001;1e-05;Wuhlheide (WUH);;
d-HCH (WUH);mg/l;0.0001;1e-05;Wuhlheide (WUH);;
e-HCH (WUH);mg/l;0.0001;1e-05;Wuhlheide (WUH);;
o,p-DDE (WUH);mg/l;0.0001;1e-05;Wuhlheide (WUH);;
p,p-DDE (WUH);mg/l;0.0001;1e-05;Wuhlheide (WUH);;
o,p-DDD (WUH);mg/l;0.0001;1e-05;Wuhlheide (WUH);;
p,p-DDD (WUH);mg/l;0.0001;1e-05;Wuhlheide (WUH);;
o,p-DDT (WUH);mg/l;0.0001;1e-05;Wuhlheide (WUH);"Dichlorodiphenyltrichloroethane, commonly known as DDT, is a colorless, tasteless, and almost odorless crystalline chemical compound, an organochlorine, originally developed as an insecticide, and ultimately becoming infamous for its environmental impacts. It was first synthesized in 1874. DDT's insecticidal action was discovered by the Swiss chemist Paul Hermann Müller in 1939. DDT was used in the second half of World War II to control malaria and typhus among civilians and troops. Müller was awarded the Nobel Prize in Physiology or Medicine ""for his discovery of the high efficiency of DDT as a contact poison against several arthropods"" in 1948.By October 1945, DDT was available for public sale in the United States. Although it was promoted by government and industry for use as an agricultural and household pesticide, there were also concerns about its use from the beginning. Opposition to DDT was focused by the 1962 publication of Rachel Carson's book Silent Spring. It cataloged environmental impacts that coincided with widespread use of DDT in agriculture in the United States, and it questioned the logic of broadcasting potentially dangerous chemicals into the environment with little prior investigation of their environmental and health effects. The book claimed that DDT and other pesticides had been shown to cause cancer and that their agricultural use was a threat to wildlife, particularly birds. Its publication was a seminal event for the environmental movement and resulted in a large public outcry that eventually led, in 1972, to a ban on DDT's agricultural use in the United States. A worldwide ban on agricultural use was formalized under the Stockholm Convention on Persistent Organic Pollutants, but its limited and still-controversial use in disease vector control continues, because of its effectiveness in reducing malarial infections, balanced by environmental and other health concerns.
Along with the passage of the Endangered Species Act, the United States ban on DDT is a major factor in the comeback of the bald eagle (the national bird of the United States) and the peregrine falcon from near-extinction in the contiguous United States.";https://en.wikipedia.org/wiki/DDT
p,p-DDT (WUH);mg/l;0.0001;1e-05;Wuhlheide (WUH);"Dichlorodiphenyltrichloroethane, commonly known as DDT, is a colorless, tasteless, and almost odorless crystalline chemical compound, an organochlorine, originally developed as an insecticide, and ultimately becoming infamous for its environmental impacts. It was first synthesized in 1874. DDT's insecticidal action was discovered by the Swiss chemist Paul Hermann Müller in 1939. DDT was used in the second half of World War II to control malaria and typhus among civilians and troops. Müller was awarded the Nobel Prize in Physiology or Medicine ""for his discovery of the high efficiency of DDT as a contact poison against several arthropods"" in 1948.By October 1945, DDT was available for public sale in the United States. Although it was promoted by government and industry for use as an agricultural and household pesticide, there were also concerns about its use from the beginning. Opposition to DDT was focused by the 1962 publication of Rachel Carson's book Silent Spring. It cataloged environmental impacts that coincided with widespread use of DDT in agriculture in the United States, and it questioned the logic of broadcasting potentially dangerous chemicals into the environment with little prior investigation of their environmental and health effects. The book claimed that DDT and other pesticides had been shown to cause cancer and that their agricultural use was a threat to wildlife, particularly birds. Its publication was a seminal event for the environmental movement and resulted in a large public outcry that eventually led, in 1972, to a ban on DDT's agricultural use in the United States. A worldwide ban on agricultural use was formalized under the Stockholm Convention on Persistent Organic Pollutants, but its limited and still-controversial use in disease vector control continues, because of its effectiveness in reducing malarial infections, balanced by environmental and other health concerns.
Along with the passage of the Endangered Species Act, the United States ban on DDT is a major factor in the comeback of the bald eagle (the national bird of the United States) and the peregrine falcon from near-extinction in the contiguous United States.";https://en.wikipedia.org/wiki/DDT
Aldrin (WUH);mg/l;2.9999999999999997e-05;5e-06;Wuhlheide (WUH);"Aldrin is an organochlorine insecticide that was widely used until the 1990s, when it was banned in most countries. It is a colourless solid. Before the ban, it was heavily used as a pesticide to treat seed and soil.  Aldrin and related ""cyclodiene"" pesticides (a term for pesticides derived from Hexachlorocyclopentadiene) became notorious as persistent organic pollutants.";https://en.wikipedia.org/wiki/Aldrin
Isodrin (WUH);mg/l;0.0001;1e-05;Wuhlheide (WUH);;
Mirex (WUH);mg/l;0.0001;1e-05;Wuhlheide (WUH);;
Dieldrin (WUH);mg/l;2.9999999999999997e-05;5e-06;Wuhlheide (WUH);;
Endrin (WUH);mg/l;0.0001;1e-05;Wuhlheide (WUH);;
Heptachlor (WUH);mg/l;2.9999999999999997e-05;5e-06;Wuhlheide (WUH);;
cis-Heptachlorepoxid (WUH);mg/l;2.9999999999999997e-05;5e-06;Wuhlheide (WUH);;
trans-Heptachlorepoxid (WUH);mg/l;2.9999999999999997e-05;5e-06;Wuhlheide (WUH);;
alpha-Endosulfan (WUH);mg/l;0.0001;1e-05;Wuhlheide (WUH);;
beta-Endosulfan (WUH);mg/l;0.0001;1e-05;Wuhlheide (WUH);;
alpha-Chlordan (WUH);mg/l;0.0001;1e-05;Wuhlheide (WUH);;
gamma-Chlordan (WUH);mg/l;0.0001;1e-05;Wuhlheide (WUH);;
oxi-Chlordan (WUH);mg/l;0.0001;1e-05;Wuhlheide (WUH);;
Methoxychlor (WUH);mg/l;0.0001;1e-05;Wuhlheide (WUH);;
2,6-Dichlorbenzamid (WUH);mg/l;0.0001;2.5e-05;Wuhlheide (WUH);;
Atrazin (WUH);mg/l;0.0001;2.5e-05;Wuhlheide (WUH);;
