name;unit;threshold;measured;location;summary;wiki;percentage
Aldrin (BEE);mg/l;2.9999999999999997e-05;5e-06;Beelitzhof (BEE);"Aldrin is an organochlorine insecticide that was widely used until the 1990s, when it was banned in most countries. It is a colourless solid. Before the ban, it was heavily used as a pesticide to treat seed and soil.  Aldrin and related ""cyclodiene"" pesticides (a term for pesticides derived from Hexachlorocyclopentadiene) became notorious as persistent organic pollutants.";https://en.wikipedia.org/wiki/Aldrin;0.0030049999999999994
Aldrin (KAU);mg/l;2.9999999999999997e-05;5e-06;Kaulsdorf (KAU);"Aldrin is an organochlorine insecticide that was widely used until the 1990s, when it was banned in most countries. It is a colourless solid. Before the ban, it was heavily used as a pesticide to treat seed and soil.  Aldrin and related ""cyclodiene"" pesticides (a term for pesticides derived from Hexachlorocyclopentadiene) became notorious as persistent organic pollutants.";https://en.wikipedia.org/wiki/Aldrin;0.0030049999999999994
Aldrin (KLA);mg/l;2.9999999999999997e-05;5e-06;Kladow (KLA);"Aldrin is an organochlorine insecticide that was widely used until the 1990s, when it was banned in most countries. It is a colourless solid. Before the ban, it was heavily used as a pesticide to treat seed and soil.  Aldrin and related ""cyclodiene"" pesticides (a term for pesticides derived from Hexachlorocyclopentadiene) became notorious as persistent organic pollutants.";https://en.wikipedia.org/wiki/Aldrin;0.0030049999999999994
Aldrin (SPA);mg/l;2.9999999999999997e-05;5e-06;Spandau (SPA);"Aldrin is an organochlorine insecticide that was widely used until the 1990s, when it was banned in most countries. It is a colourless solid. Before the ban, it was heavily used as a pesticide to treat seed and soil.  Aldrin and related ""cyclodiene"" pesticides (a term for pesticides derived from Hexachlorocyclopentadiene) became notorious as persistent organic pollutants.";https://en.wikipedia.org/wiki/Aldrin;0.0030049999999999994
Aldrin (STO);mg/l;2.9999999999999997e-05;5e-06;Stolpe (STO);"Aldrin is an organochlorine insecticide that was widely used until the 1990s, when it was banned in most countries. It is a colourless solid. Before the ban, it was heavily used as a pesticide to treat seed and soil.  Aldrin and related ""cyclodiene"" pesticides (a term for pesticides derived from Hexachlorocyclopentadiene) became notorious as persistent organic pollutants.";https://en.wikipedia.org/wiki/Aldrin;0.0030049999999999994
Aldrin (TEG);mg/l;2.9999999999999997e-05;5e-06;Tegel (TEG);"Aldrin is an organochlorine insecticide that was widely used until the 1990s, when it was banned in most countries. It is a colourless solid. Before the ban, it was heavily used as a pesticide to treat seed and soil.  Aldrin and related ""cyclodiene"" pesticides (a term for pesticides derived from Hexachlorocyclopentadiene) became notorious as persistent organic pollutants.";https://en.wikipedia.org/wiki/Aldrin;0.0030049999999999994
Aldrin (TIE);mg/l;2.9999999999999997e-05;5e-06;Tiefwerder (TIE);"Aldrin is an organochlorine insecticide that was widely used until the 1990s, when it was banned in most countries. It is a colourless solid. Before the ban, it was heavily used as a pesticide to treat seed and soil.  Aldrin and related ""cyclodiene"" pesticides (a term for pesticides derived from Hexachlorocyclopentadiene) became notorious as persistent organic pollutants.";https://en.wikipedia.org/wiki/Aldrin;0.0030049999999999994
Aldrin (WUH);mg/l;2.9999999999999997e-05;5e-06;Wuhlheide (WUH);"Aldrin is an organochlorine insecticide that was widely used until the 1990s, when it was banned in most countries. It is a colourless solid. Before the ban, it was heavily used as a pesticide to treat seed and soil.  Aldrin and related ""cyclodiene"" pesticides (a term for pesticides derived from Hexachlorocyclopentadiene) became notorious as persistent organic pollutants.";https://en.wikipedia.org/wiki/Aldrin;0.0030049999999999994
Aluminium (BEE);mg/l;0.2;0.01;Beelitzhof (BEE);"Aluminium or aluminum is a chemical element with symbol Al and atomic number 13. It is a silvery-white, soft, nonmagnetic and ductile metal in the boron group. By mass, aluminium makes up about 8% of the  Earth's crust; it is the third most abundant element after oxygen and silicon and the most abundant metal in the crust, though it is less common in the mantle below. The chief ore of aluminium is bauxite. Aluminium metal is so chemically reactive that native specimens are rare and limited to extreme reducing environments. Instead, it is found combined in over 270 different minerals.Aluminium is remarkable for its low density and its ability to resist corrosion through the phenomenon of passivation. Aluminium and its alloys are vital to the aerospace industry and important in transportation and building industries, such as building facades and window frames. The oxides and sulfates are the most useful compounds of aluminium.Despite its prevalence in the environment, no known form of life uses aluminium salts metabolically, but aluminium is well tolerated by plants and animals. Because of these salts' abundance, the potential for a biological role for them is of continuing interest, and studies continue.";https://en.wikipedia.org/wiki/Aluminium;20.01
Aluminium (KAU);mg/l;0.2;0.01;Kaulsdorf (KAU);"Aluminium or aluminum is a chemical element with symbol Al and atomic number 13. It is a silvery-white, soft, nonmagnetic and ductile metal in the boron group. By mass, aluminium makes up about 8% of the  Earth's crust; it is the third most abundant element after oxygen and silicon and the most abundant metal in the crust, though it is less common in the mantle below. The chief ore of aluminium is bauxite. Aluminium metal is so chemically reactive that native specimens are rare and limited to extreme reducing environments. Instead, it is found combined in over 270 different minerals.Aluminium is remarkable for its low density and its ability to resist corrosion through the phenomenon of passivation. Aluminium and its alloys are vital to the aerospace industry and important in transportation and building industries, such as building facades and window frames. The oxides and sulfates are the most useful compounds of aluminium.Despite its prevalence in the environment, no known form of life uses aluminium salts metabolically, but aluminium is well tolerated by plants and animals. Because of these salts' abundance, the potential for a biological role for them is of continuing interest, and studies continue.";https://en.wikipedia.org/wiki/Aluminium;20.01
