;name;unit;threshold;WUH_measured;name;unit;threshold;TIE_measured;name;unit;threshold;TEG_measured;name;unit;threshold;STO_measured;name;unit;threshold;SPA_measured;name;unit;threshold;KAU_measured;name;unit;threshold;BEE_measured;name;unit;threshold;KLA_measured
0;Escherichia coli;/100ml;0,0;0,0;Escherichia coli;/100ml;0,0;0,0;Escherichia coli;/100ml;0,0;0,0;Escherichia coli;/100ml;0,0;0,0;Escherichia coli;/100ml;0,0;0,0;Escherichia coli;/100ml;0,0;0,0;Escherichia coli;/100ml;0,0;0,0;Escherichia coli;/100ml;0,0;0,0
1;Cyanid ges.;mg/l;0,05;0,003;Cyanid ges.;mg/l;0,05;0,003;Cyanid ges.;mg/l;0,05;0,003;Cyanid ges.;mg/l;0,05;0,003;Cyanid ges.;mg/l;0,05;0,003;Cyanid ges.;mg/l;0,05;0,003;Cyanid ges.;mg/l;0,05;<0,003;Cyanid ges.;mg/l;0,05;<0,003
2;Kontrollwert NO3/NO2;mg/l;1,00;0,09;Kontrollwert NO3/NO2;mg/l;1,00;0,08;Kontrollwert NO3/NO2;mg/l;1,00;0,08;Kontrollwert NO3/NO2;mg/l;1,00;0,07;Kontrollwert NO3/NO2;mg/l;1,00;0,03;Kontrollwert NO3/NO2;mg/l;1,00;0,03;Kontrollwert NO3/NO2;mg/l;1,00;0,07;Kontrollwert NO3/NO2;mg/l;1,00;0,06
3;Clostridium perfringens;/100ml;0;0;Clostridium perfringens;/100ml;0;0;Clostridium perfringens;/100ml;0;0;Clostridium perfringens;/100ml;0;0;Clostridium perfringens;/100ml;0;0;Clostridium perfringens;/100ml;0;0;Clostridium perfringens;/100ml;0;0;Clostridium perfringens;/100ml;0;0
4;Coliforme Bakterien;/100ml;0,0;0,0;Coliforme Bakterien;/100ml;0,0;0,0;Coliforme Bakterien;/100ml;0,0;0,0;Coliforme Bakterien;/100ml;0,0;0,0;Coliforme Bakterien;/100ml;0,0;0,0;Coliforme Bakterien;/100ml;0,0;0,0;Coliforme Bakterien;/100ml;0,0;0,0;Coliforme Bakterien;/100ml;0,0;0,0
5;Koloniezahl 22°C;/ml;100;0;Koloniezahl 22°C;/ml;100;0;Koloniezahl 22°C;/ml;100;0;Koloniezahl 22°C;/ml;100;0;Koloniezahl 22°C;/ml;100;0;Koloniezahl 22°C;/ml;100;0;Koloniezahl 22°C;/ml;100;0;Koloniezahl 22°C;/ml;100;0
6;Koloniezahl 36°C;/ml;100;0;Koloniezahl 36°C;/ml;100;0;Koloniezahl 36°C;/ml;100;0;Koloniezahl 36°C;/ml;100;0;Koloniezahl 36°C;/ml;100;0;Koloniezahl 36°C;/ml;100;0;Koloniezahl 36°C;/ml;100;0;Koloniezahl 36°C;/ml;100;0
7;Kontrollwert Calcitlösekapazität;mgCaCO3/l;5,0;-13,9;Kontrollwert Calcitlösekapazität;mgCaCO3/l;5,0;-16,9;Kontrollwert Calcitlösekapazität;mgCaCO3/l;5,0;-3,9;Kontrollwert Calcitlösekapazität;mgCaCO3/l;5,0;-8,3;Kontrollwert Calcitlösekapazität;mgCaCO3/l;5,0;-10,1;Kontrollwert Calcitlösekapazität;mgCaCO3/l;5,0;4,6;Kontrollwert Calcitlösekapazität;mgCaCO3/l;5,0;-10,9;Kontrollwert Calcitlösekapazität;mgCaCO3/l;5,0;-9,5
8;Säurekapazität KS 4,3;mmol/l;;;Säurekapazität KS 4,3;mmol/l;;;Säurekapazität KS 4,3;mmol/l;;;Säurekapazität KS 4,3;mmol/l;;;Säurekapazität KS 4,3;mmol/l;;;Säurekapazität KS 4,3;mmol/l;;;Säurekapazität KS 4,3;mmol/l;;4.06;Säurekapazität KS 4,3;mmol/l;;4.06
9;Basekapazität  KB 8,2;mmol/l;;;Basekapazität  KB 8,2;mmol/l;;;Basekapazität  KB 8,2;mmol/l;;;Basekapazität  KB 8,2;mmol/l;;;Basekapazität  KB 8,2;mmol/l;;;Basekapazität  KB 8,2;mmol/l;;;Basekapazität  KB 8,2;mmol/l;;0.27;Basekapazität  KB 8,2;mmol/l;;0.27
